id,Protein names,Gene names,PROlong_mean
2751,Transcription factor ETV6,ETV6,0.8641666666666666
2752,Eukaryotic translation initiation factor 2D,EIF2D,0.9735433333333333
2753,Protein BUD31 homolog,BUD31,1.1423666666666668
2754,N-alpha-acetyltransferase 10,NAA10,0.91809
2755,Lysine-specific demethylase 5C,KDM5C,1.09063
2756,Protein phosphatase inhibitor 2-like protein 3;Protein phosphatase inhibitor 2,PPP1R2P3;PPP1R2,1.1307333333333334
2757,Tyrosine-protein kinase CSK,CSK,1.0774333333333335
2758,Glycine--tRNA ligase,GARS,1.1406
2759,"Isoleucine--tRNA ligase, cytoplasmic",IARS,1.1547333333333334
2760,Protein kinase C iota type,PRKCI,0.94693
2761,Beta-centractin,ACTR1B,1.135
2762,"Enoyl-CoA delta isomerase 1, mitochondrial",ECI1;DCI,1.0480666666666667
2763,"Lamina-associated polypeptide 2, isoform alpha;Thymopoietin;Thymopentin",TMPO,0.7879466666666667
2764,"Lamina-associated polypeptide 2, isoforms beta/gamma;Thymopoietin;Thymopentin",TMPO,0.9906699999999999
2765,Signal transducer and activator of transcription 1-alpha/beta,STAT1,1.0624333333333333
2767,Signal transducer and activator of transcription 6,STAT6,1.1356666666666666
2768,Superkiller viralicidic activity 2-like 2,SKIV2L2,0.8621366666666667
2769,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform",PIK3CA,1.0184766666666667
2770,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform",PIK3CB;DKFZp779K1237,1.1889666666666667
2771,Serine/threonine-protein kinase mTOR,MTOR,1.0831666666666666
2772,Epidermal growth factor receptor substrate 15,EPS15,1.0652666666666666
2773,Caspase-3;Caspase-3 subunit p17;Caspase-3 subunit p12,CASP3,0.96949
2774,40S ribosomal protein S27,RPS27,0.9467133333333333
2775,Condensin-2 complex subunit D3,NCAPD3,0.8764466666666667
2776,RNA-binding protein 34,RBM34,0.6521966666666666
2777,"Leucine-rich PPR motif-containing protein, mitochondrial",LRPPRC,0.9648566666666667
2778,"3-ketoacyl-CoA thiolase, mitochondrial",ACAA2,1.2206
2779,60S ribosomal protein L35,RPL35,0.8268066666666667
2780,Cyclin-dependent kinase 4 inhibitor C,CDKN2C,1.0209933333333334
2781,Lysosomal Pro-X carboxypeptidase,PRCP,1.1247333333333334
2782,Huntingtin,HTT,1.0919
2783,Methylenetetrahydrofolate reductase,MTHFR,1.5537
2784,Neutral amino acid transporter A,SLC1A4,0.95465
2785,Platelet-activating factor acetylhydrolase IB subunit alpha,PAFAH1B1,1.0789333333333333
2786,Cell surface glycoprotein MUC18,MCAM,1.1493
2787,Carnitine O-acetyltransferase,CRAT,2.69265
2788,DNA mismatch repair protein Msh2,MSH2,0.8625433333333333
2789,"Glycerol-3-phosphate dehydrogenase, mitochondrial",GPD2,0.8412233333333333
2790,Translocon-associated protein subunit alpha,SSR1,1.0453000000000001
2791,Melanoma-associated antigen 4,MAGEA4,0.9750633333333333
2792,Melanoma-associated antigen 10,MAGEA10,1.1051
2793,Ran-specific GTPase-activating protein,RANBP1,0.9345633333333333
2794,Nicotinamide phosphoribosyltransferase,NAMPT,1.2561
2795,26S protease regulatory subunit 6B,PSMC4,0.9649933333333334
2796,"Elongation factor Ts, mitochondrial;Elongation factor Ts",TSFM,0.99485
2797,Peptidyl-prolyl cis-trans isomerase C,PPIC,0.9211433333333333
2798,Voltage-dependent anion-selective channel protein 2,VDAC2,0.9563433333333333
2799,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",ACADSB,1.0670333333333333
2800,Chromobox protein homolog 5,CBX5,1.0306166666666667
2801,Ubiquitin carboxyl-terminal hydrolase 5,USP5,0.9587366666666667
2802,Mitogen-activated protein kinase 8;Mitogen-activated protein kinase 10,MAPK8;MAPK10,1.0242433333333334
2803,Mitogen-activated protein kinase 9,MAPK9,1.6132
2804,Dual specificity mitogen-activated protein kinase kinase 4,MAP2K4,1.0839933333333334
2805,"Phosphorylase b kinase regulatory subunit alpha, liver isoform",PHKA2,0.94195
2806,Ran GTPase-activating protein 1,RANGAP1,0.8701333333333333
2807,ATP-dependent DNA helicase Q1,RECQL,0.9734366666666666
2808,Probable 28S rRNA (cytosine(4447)-C(5))-methyltransferase,NOP2,0.6552
2809,Transcriptional regulator ATRX,ATRX,0.7526766666666667
2810,Adapter molecule crk,CRK,0.9945366666666666
2812,Crk-like protein,CRKL,1.0131566666666667
2813,"Translation initiation factor IF-2, mitochondrial",MTIF2,0.8705
2814,Dual specificity mitogen-activated protein kinase kinase 3,MAP2K3,0.93399
2815,Lys-63-specific deubiquitinase BRCC36,BRCC3,1.1198
2816,60S ribosomal protein L27a,RPL27A,0.8186333333333333
2817,60S ribosomal protein L5,RPL5,0.9183166666666667
2818,60S ribosomal protein L21,RPL21,0.88002
2819,60S ribosomal protein L28,RPL28,0.88454
2820,40S ribosomal protein S10,RPS10,0.9772233333333333
2821,Microtubule-associated protein 1B;MAP1B heavy chain;MAP1 light chain LC1,MAP1B,1.1045
2822,Glucosamine-6-phosphate isomerase 1;Glucosamine-6-phosphate isomerase,GNPDA1,1.0737
2823,E3 ubiquitin-protein ligase NEDD4,NEDD4,1.12
2825,Utrophin,UTRN,1.1099666666666665
2826,Ras GTPase-activating-like protein IQGAP1,IQGAP1,1.0738
2827,Glycogenin-1,GYG1,11.3066
2828,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A,STT3A,0.87631
2829,Guanine nucleotide exchange factor MSS4,RABIF,1.0253
2830,Cytosolic phospholipase A2;Phospholipase A2;Lysophospholipase,PLA2G4A,0.911
2831,F-actin-capping protein subunit alpha-2,CAPZA2,1.0089666666666668
2833,F-actin-capping protein subunit beta,CAPZB,1.0542
2834,"Eukaryotic translation initiation factor 1A, X-chromosomal;Eukaryotic translation initiation factor 1A, Y-chromosomal",EIF1AX;EIF1AY,0.9780566666666667
2835,Aldehyde dehydrogenase family 1 member A3,ALDH1A3,0.8025633333333333
2836,Glutamine--tRNA ligase,QARS,0.92333
2837,60S ribosomal protein L29,RPL29,0.8193266666666666
2838,"Cytochrome b-c1 complex subunit Rieske, mitochondrial;Cytochrome b-c1 complex subunit 11;Putative cytochrome b-c1 complex subunit Rieske-like protein 1",UQCRFS1;UQCRFS1P1,1.0264466666666667
2839,Sodium- and chloride-dependent creatine transporter 1,SLC6A8,0.72973
2840,"ATP synthase subunit O, mitochondrial",ATP5O,0.8750733333333333
2841,Prolyl endopeptidase,PREP,1.0571666666666666
2842,NADP-dependent malic enzyme,ME1,1.3010666666666666
2843,Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha,PIP4K2A,1.0464333333333333
2844,Transcription factor SOX-9,SOX9,0.9355333333333333
2845,Lanosterol synthase,LSS,1.0922
2846,Serine/threonine-protein phosphatase 2B catalytic subunit gamma isoform;Serine/threonine-protein phosphatase,PPP3CC,0.94036
2847,Glutamate--cysteine ligase catalytic subunit,GCLC,1.0239333333333334
2848,Glutamate--cysteine ligase regulatory subunit,GCLM,1.0533
2849,Protein PRRC2A,PRRC2A,0.7738833333333334
2850,Glutathione synthetase,GSS,1.0965333333333334
2851,T-complex protein 1 subunit epsilon,CCT5,1.0395333333333334
2852,Nestin,NES,0.83936
2853,Heat shock 70 kDa protein 13,HSPA13,1.1759666666666666
2854,Casein kinase I isoform alpha;Casein kinase I isoform alpha-like,CSNK1A1;CSNK1A1L,0.9715499999999999
2855,"Isocitrate dehydrogenase [NADP], mitochondrial",IDH2,1.1359
2856,Phosphatidylinositol transfer protein beta isoform,PITPNB,0.96695
2857,CD97 antigen;CD97 antigen subunit alpha;CD97 antigen subunit beta,CD97,0.97027
2858,MARCKS-related protein,MARCKSL1,0.8906366666666666
2860,Calcium signal-modulating cyclophilin ligand,CAMLG,0.82755
2861,MAP kinase-activated protein kinase 2,MAPKAPK2,1.0285266666666666
2862,4-trimethylaminobutyraldehyde dehydrogenase,ALDH9A1,1.0654
2863,60S ribosomal protein L34,RPL34,0.9009766666666666
2864,Ribose-5-phosphate isomerase,RPIA,1.04813
2865,Protein ERGIC-53,LMAN1,0.9309166666666667
2866,Nuclear autoantigenic sperm protein,NASP,0.9274866666666667
2867,Fatty acid synthase;[Acyl-carrier-protein] S-acetyltransferase;[Acyl-carrier-protein] S-malonyltransferase;3-oxoacyl-[acyl-carrier-protein] synthase;3-oxoacyl-[acyl-carrier-protein] reductase;3-hydroxyacyl-[acyl-carrier-protein] dehydratase;Enoyl-[acyl-carrier-protein] reductase;Oleoyl-[acyl-carrier-protein] hydrolase,FASN,0.9449
2868,Deoxyhypusine synthase,DHPS,1.1303666666666667
2869,T-complex protein 1 subunit gamma,CCT3,1.0313333333333334
2870,"39S ribosomal protein L19, mitochondrial",MRPL19,0.93804
2871,Beta-arrestin-1,ARRB1,1.0040433333333334
2872,"Elongation factor Tu, mitochondrial",TUFM,0.8968733333333333
2873,Alpha-aminoadipic semialdehyde dehydrogenase,ALDH7A1,1.0799666666666667
2874,Ubiquitin-conjugating enzyme E2 R1,CDC34,0.7682566666666667
2875,Centromere protein F,CENPF,0.80126
2876,Signal recognition particle 9 kDa protein,SRP9,0.94603
2877,"Alanine--tRNA ligase, cytoplasmic",AARS,1.2363333333333333
2878,"Cysteine--tRNA ligase, cytoplasmic",CARS,1.1533
2879,"Probable histidine--tRNA ligase, mitochondrial",HARS2,1.0855333333333335
2880,"Serine--tRNA ligase, cytoplasmic",SARS,1.2335333333333334
2881,Protein phosphatase 1F,PPM1F,1.1027
2882,DNA primase small subunit,PRIM1,0.8866966666666667
2883,DNA primase large subunit,PRIM2,0.9017666666666667
2884,Proteasome subunit beta type-3,PSMB3,1.0646333333333333
2885,Proteasome subunit beta type-2,PSMB2,1.0296333333333334
2886,DNA replication licensing factor MCM2,MCM2,0.8613166666666667
2887,"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial",ACADVL,1.3743
2888,YLP motif-containing protein 1,YLPM1,0.8084733333333334
2889,Vacuolar protein sorting-associated protein 41 homolog,VPS41,1.1422333333333334
2890,Transmembrane emp24 domain-containing protein 10,TMED10,1.0353999999999999
2891,RNA-binding protein 25,RBM25,0.78738
2892,Protein numb homolog,NUMB,0.7999833333333333
2893,Dual specificity protein kinase CLK1,CLK1,0.79808
2894,Dual specificity protein kinase CLK3,CLK3,1.1051566666666668
2895,Translation initiation factor eIF-2B subunit beta,EIF2B2,1.0484666666666667
2896,Histidine triad nucleotide-binding protein 1,HINT1,1.01552
2897,Nuclear pore complex protein Nup153,NUP153,0.8755266666666667
2898,E3 SUMO-protein ligase RanBP2,RANBP2,0.8864433333333334
2899,Glycogen synthase kinase-3 beta,GSK3B,1.0957
2900,Cytosolic purine 5-nucleotidase,NT5C2,0.9607433333333333
2901,"Selenide, water dikinase 1",SEPHS1,0.9556066666666667
2902,5-formyltetrahydrofolate cyclo-ligase,MTHFS;ST20-MTHFS,0.95343
2903,GMP synthase [glutamine-hydrolyzing],GMPS,0.8966633333333333
2904,DNA ligase 3,LIG3,0.9631933333333333
2905,DNA ligase 4;DNA ligase,LIG4,0.8940899999999999
2906,Histamine N-methyltransferase,HNMT,1.2092666666666667
2907,Guanine nucleotide-binding protein G(q) subunit alpha,GNAQ,1.3131333333333333
2908,"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial",IDH3A,0.9909466666666666
2909,Homeobox protein MOX-1;Homeobox protein MOX-2,MEOX1;MEOX2,0.94598
2910,Matrix metalloproteinase-14,MMP14,1.4347333333333334
2911,Protoporphyrinogen oxidase,PPOX,1.0877333333333332
2912,Rab GDP dissociation inhibitor beta,GDI2,0.9758266666666666
2913,Emerin,EMD,1.0302666666666667
2914,"Carnitine O-palmitoyltransferase 1, liver isoform",CPT1A,1.2682666666666667
2915,Sulfate transporter,SLC26A2,0.64548
2916,Serpin B8,SERPINB8,1.082
2917,PDZ and LIM domain protein 4,PDLIM4,1.1062999999999998
2918,Hsc70-interacting protein;Putative protein FAM10A4;Putative protein FAM10A5,ST13;ST13P4;ST13P5,1.0597
2920,Vasodilator-stimulated phosphoprotein,VASP,1.0424666666666667
2922,Dynamin-2,DNM2,1.0798
2923,Dynamin-2,DNM2,1.0289
2924,Methionine aminopeptidase 2,METAP2,0.9975033333333334
2925,Bis(5-nucleosyl)-tetraphosphatase [asymmetrical],NUDT2,1.0574766666666666
2926,Kinetochore-associated protein 1,KNTC1,0.8833433333333333
2927,Cyclin-dependent kinase 9,CDK9,0.9063766666666666
2928,Lipopolysaccharide-responsive and beige-like anchor protein,LRBA,1.1207666666666667
2929,Palmitoyl-protein thioesterase 1,PPT1,0.98429
2930,60S ribosomal protein L14,RPL14,0.8699566666666667
2931,T-complex protein 1 subunit theta,CCT8,1.0191000000000001
2932,T-complex protein 1 subunit delta,CCT4,1.0311000000000001
2933,Annexin A11,ANXA11,0.7942366666666667
2934,Poly(A) polymerase alpha,PAPOLA,0.9182466666666667
2935,Fragile X mental retardation syndrome-related protein 1,FXR1,0.9047733333333333
2936,Fragile X mental retardation syndrome-related protein 2,FXR2,0.89522
2937,Ras-related protein Rab-5C,RAB5C,0.9726433333333333
2938,Ras-related protein Rab-7a,RAB7A,1.1362
2939,Ras-related protein Rab-9A,RAB9A,1.1376
2940,Ras-related protein Rab-13,RAB13,0.9701833333333334
2941,Ras-related protein Rab-27A,RAB27A,1.1568666666666667
2942,"28S ribosomal protein S29, mitochondrial",DAP3,0.8650266666666667
2943,Dual specificity protein phosphatase 3,DUSP3,1.1766333333333334
2944,Matrix metalloproteinase-15,MMP15,1.81755
2945,Probable global transcription activator SNF2L2,SMARCA2,0.7970733333333333
2946,Transcription activator BRG1,SMARCA4,0.6823833333333333
2947,"Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial;Isocitrate dehydrogenase [NAD] subunit, mitochondrial",IDH3G,0.9558599999999999
2948,Galactokinase,GALK1,1.1332333333333333
2949,Translocon-associated protein subunit delta,SSR4,1.0531
2950,B-cell receptor-associated protein 31,BCAP31,1.0295
2951,Thiopurine S-methyltransferase,TPMT,1.0134400000000001
2952,Host cell factor 1;HCF N-terminal chain 1;HCF N-terminal chain 2;HCF N-terminal chain 3;HCF N-terminal chain 4;HCF N-terminal chain 5;HCF N-terminal chain 6;HCF C-terminal chain 1;HCF C-terminal chain 2;HCF C-terminal chain 3;HCF C-terminal chain 4;HCF C-terminal chain 5;HCF C-terminal chain 6,HCFC1,0.86639
2953,Peroxisomal multifunctional enzyme type 2;(3R)-hydroxyacyl-CoA dehydrogenase;Enoyl-CoA hydratase 2,HSD17B4,1.2503
2954,26S proteasome non-ATPase regulatory subunit 7,PSMD7,0.9842066666666667
2955,Ubiquitin-conjugating enzyme E2 D1;Ubiquitin-conjugating enzyme E2 D4,UBE2D1;UBE2D4,1.0489666666666666
2956,N-sulphoglucosamine sulphohydrolase,SGSH,0.9668333333333333
2957,H(+)/Cl(-) exchange transporter 3;Chloride channel protein,CLCN3,1.01274
2958,H(+)/Cl(-) exchange transporter 7,CLCN7,1.0048300000000001
2959,Vesicle-associated membrane protein 7,VAMP7,1.0836999999999999
2960,Ribosomal protein S6 kinase alpha-3,RPS6KA3,1.1348
2961,3-oxo-5-beta-steroid 4-dehydrogenase,AKR1D1,1.4194666666666667
2962,Hepatoma-derived growth factor,HDGF,0.9922033333333333
2963,Cyclin-H,CCNH,1.6069333333333333
2964,CDK-activating kinase assembly factor MAT1,MNAT1,0.8801266666666667
2965,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8,NDUFA8,0.99801
2966,Heterogeneous nuclear ribonucleoprotein A3,HNRNPA3,0.74784
2967,Heterogeneous nuclear ribonucleoprotein A3,HNRNPA3,0.6386133333333334
2968,"6-phosphogluconate dehydrogenase, decarboxylating",PGD,1.0714
2969,Heterogeneous nuclear ribonucleoprotein M,HNRNPM,0.76202
2970,Importin subunit alpha-1,KPNA2,0.8481433333333334
2971,"Importin subunit alpha-5;Importin subunit alpha-5, N-terminally processed",KPNA1,1.0848333333333333
2972,Nuclear cap-binding protein subunit 2,NCBP2,0.87507
2973,Rap1 GTPase-GDP dissociation stimulator 1,RAP1GDS1,1.3052666666666666
2975,DNA-directed RNA polymerase II subunit RPB11-a;DNA-directed RNA polymerase II subunit RPB11-b2;DNA-directed RNA polymerase II subunit RPB11-b1,POLR2J;POLR2J3;POLR2J2,0.9526433333333333
2976,Dual specificity mitogen-activated protein kinase kinase 6,MAP2K6,1.0136333333333334
2977,Rho GDP-dissociation inhibitor 1,ARHGDIA,0.9722433333333333
2978,Arf-GAP domain and FG repeat-containing protein 1,AGFG1,0.9594466666666667
2979,"Heterogeneous nuclear ribonucleoprotein F;Heterogeneous nuclear ribonucleoprotein F, N-terminally processed",HNRNPF,0.8264566666666667
2980,Signal transducer and activator of transcription 2,STAT2,1.4109666666666667
2981,Transcription initiation factor IIA subunit 1;Transcription initiation factor IIA alpha chain;Transcription initiation factor IIA beta chain,GTF2A1,0.92197
2982,Transcription initiation factor IIA subunit 2,GTF2A2,0.85832
2983,DNA mismatch repair protein Msh6,MSH6,0.8261666666666667
2984,Kinesin-like protein KIF11,KIF11,0.4986066666666667
2985,Guanine nucleotide exchange factor VAV2,VAV2,1.06552
2986,RNA-binding protein 5,RBM5,1.1151666666666666
2987,Ribonuclease UK114,HRSP12,1.2036666666666667
2988,Spermine synthase,SMS,0.9553
2989,Hexokinase-2;Hexokinase,HK2,0.90746
2991,Thimet oligopeptidase,THOP1,0.9702333333333334
2992,Aldo-keto reductase family 1 member C2,AKR1C2,1.5252999999999999
2993,F-actin-capping protein subunit alpha-1,CAPZA1,1.0776999999999999
2994,Cysteine-rich protein 2,CRIP2,1.0080266666666666
2995,Nuclear pore complex protein Nup98-Nup96;Nuclear pore complex protein Nup98;Nuclear pore complex protein Nup96,NUP98,0.7832566666666666
2996,Biliverdin reductase A,BLVRA,1.1431666666666667
2997,"Tricarboxylate transport protein, mitochondrial",SLC25A1,1.1311333333333333
2998,Arfaptin-1,ARFIP1,1.1762666666666668
3000,Cytosolic Fe-S cluster assembly factor NUBP1,NUBP1,0.9972133333333333
3001,ATP-citrate synthase,ACLY,0.9974133333333334
3002,Methionine aminopeptidase 1,METAP1,1.1503333333333334
3003,"Succinyl-CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial",SUCLG1,0.9674866666666667
3004,Geranylgeranyl transferase type-1 subunit beta,PGGT1B,1.2115333333333334
3005,Geranylgeranyl transferase type-2 subunit beta,RABGGTB,0.8977466666666667
3006,Coatomer subunit beta,COPB1,0.98976
3007,Coatomer subunit alpha;Xenin;Proxenin,COPA,1.0249233333333332
3008,Dipeptidyl peptidase 1;Dipeptidyl peptidase 1 exclusion domain chain;Dipeptidyl peptidase 1 heavy chain;Dipeptidyl peptidase 1 light chain,CTSC,0.84443
3009,Cytochrome c-type heme lyase,HCCS,1.3052666666666666
3010,Sodium/myo-inositol cotransporter,SLC5A3,0.6798833333333334
3011,Monocarboxylate transporter 1,SLC16A1,1.0859566666666667
3012,IST1 homolog,IST1,1.1490666666666667
3013,Protein transport protein Sec24C,SEC24C,1.0325666666666666
3014,Activated RNA polymerase II transcriptional coactivator p15,SUB1,0.8555400000000001
3015,DNA polymerase subunit gamma-1,POLG,1.1751
3016,Methylosome subunit pICln,CLNS1A,1.0064533333333334
3017,"Arginine--tRNA ligase, cytoplasmic",RARS,0.9766166666666667
3018,"Arginine--tRNA ligase, cytoplasmic",RARS,1.8878
3019,PMS1 protein homolog 1,PMS1,1.66336
3020,Mismatch repair endonuclease PMS2,PMS2,1.0906566666666666
3021,"Tyrosine--tRNA ligase, cytoplasmic;Tyrosine--tRNA ligase, cytoplasmic, N-terminally processed;Tyrosine--tRNA ligase",YARS,1.0758666666666667
3022,Ubiquitin carboxyl-terminal hydrolase 14;Ubiquitin carboxyl-terminal hydrolase,USP14,0.9843866666666666
3023,5-AMP-activated protein kinase subunit gamma-1,PRKAG1,1.0955666666666666
3024,Heat shock-related 70 kDa protein 2,HSPA2,1.1039666666666668
3025,"Branched-chain-amino-acid aminotransferase, cytosolic",BCAT1,1.1058666666666668
3027,Sodium/potassium-transporting ATPase subunit beta-3,ATP1B3,0.7730866666666667
3028,UV excision repair protein RAD23 homolog A,RAD23A,0.9470766666666667
3029,UV excision repair protein RAD23 homolog B,RAD23B,0.9788066666666667
3030,Ephrin type-B receptor 3,EPHB3,0.95209
3031,Receptor protein-tyrosine kinase;Ephrin type-B receptor 4,EPHB4,1.0176
3032,Alpha-N-acetylglucosaminidase;Alpha-N-acetylglucosaminidase 82 kDa form;Alpha-N-acetylglucosaminidase 77 kDa form,NAGLU,0.6859433333333333
3033,Delta-1-pyrroline-5-carboxylate synthase;Glutamate 5-kinase;Gamma-glutamyl phosphate reductase,ALDH18A1,0.8619733333333334
3034,Alpha-soluble NSF attachment protein,NAPA,1.0120233333333333
3035,Eukaryotic translation initiation factor 5,EIF5,1.2270666666666667
3036,Solute carrier family 12 member 2,SLC12A2,0.8734366666666666
3037,26S proteasome non-ATPase regulatory subunit 4,PSMD4,0.9669666666666666
3038,GTP-binding protein GEM,GEM,0.56226
3039,Exportin-2,CSE1L,0.8990833333333333
3040,Transitional endoplasmic reticulum ATPase,VCP,1.0308
3041,Microfibrillar-associated protein 1,MFAP1,0.8977266666666667
3042,"Trifunctional enzyme subunit beta, mitochondrial;3-ketoacyl-CoA thiolase",HADHB,1.00016
3043,,,1.05139
3045,Caspase-7;Caspase-7 subunit p20;Caspase-7 subunit p11,CASP7,1.02075
3046,Caspase-7;Caspase-7 subunit p20;Caspase-7 subunit p11,CASP7,0.9693
3048,Adenosine kinase,ADK,0.98173
3049,Double-stranded RNA-specific adenosine deaminase,ADAR,0.97304
3050,Laminin subunit beta-2,LAMB2,1.4056666666666666
3051,Tumor protein D52,TPD52,1.143
3052,Protein SEC13 homolog,SEC13,1.1306666666666667
3053,"NHP2-like protein 1;NHP2-like protein 1, N-terminally processed",NHP2L1,0.86372
3054,Heterogeneous nuclear ribonucleoprotein H2,HNRNPH2,0.8612533333333333
3055,"Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial",OXCT1,1.0576333333333334
3056,Eukaryotic translation initiation factor 3 subunit B,EIF3B,0.8929566666666666
3057,BH3-interacting domain death agonist;BH3-interacting domain death agonist p15;BH3-interacting domain death agonist p13;BH3-interacting domain death agonist p11,BID,1.0470666666666666
3058,"ATP synthase subunit f, mitochondrial",ATP5J2,0.7705466666666667
3059,,,0.9257933333333334
3060,Ribosomal RNA processing protein 1 homolog A,RRP1,0.86355
3061,"Methionine--tRNA ligase, cytoplasmic",MARS,0.9946766666666667
3062,Integrin alpha-1,ITGA1,1.1146333333333334
3063,AP-1 complex subunit sigma-2,AP1S2,0.9258533333333333
3064,"ATP synthase subunit epsilon-like protein, mitochondrial;ATP synthase subunit epsilon, mitochondrial",ATP5EP2;ATP5E,0.9209966666666667
3065,"ATP synthase subunit e, mitochondrial",ATP5I,0.9694200000000001
3066,Eukaryotic translation initiation factor 6,EIF6,1.0173333333333334
3067,C-terminal-binding protein 2,CTBP2,0.94953
3068,Peroxisomal biogenesis factor 3,PEX3,1.0965333333333334
3069,3-keto-steroid reductase,HSD17B7,0.8073466666666667
3070,Breast cancer anti-estrogen resistance protein 1,BCAR1,1.0617
3072,UPF0769 protein C21orf59,C21orf59,1.1998
3073,tRNA (guanine-N(7)-)-methyltransferase non-catalytic subunit WDR4,WDR4,1.1311333333333333
3074,Transmembrane protein 33,TMEM33,1.1888333333333334
3075,Nuclear pore complex protein Nup107,NUP107,0.7525766666666667
3076,Selenocysteine-specific elongation factor,EEFSEC,0.9419666666666666
3077,Sestrin-2,SESN2,0.9279666666666667
3078,Lysyl oxidase homolog 3,LOXL3,1.3358666666666668
3080,Myotrophin,MTPN,0.97343
3081,Putative ribonuclease,YBEY,0.845665
3082,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2;Guanine nucleotide-binding protein subunit gamma,GNG2,1.0392433333333333
3083,Protein transport protein Sec61 subunit gamma,SEC61G,0.9532166666666667
3084,Triosephosphate isomerase,TPI1,0.99926
3085,Eukaryotic translation initiation factor 3 subunit E,EIF3E,0.97086
3086,Protein transport protein Sec61 subunit beta,SEC61B,0.9751166666666666
3087,Serine/threonine-protein phosphatase 4 catalytic subunit;Serine/threonine-protein phosphatase,PPP4C,0.9761
3088,Gamma-aminobutyric acid receptor-associated protein-like 2,GABARAPL2,1.3227
3089,Reactive oxygen species modulator 1,ROMO1,1.4849999999999999
3090,Ubiquitin-conjugating enzyme E2 G2,UBE2G2,0.8705133333333334
3091,Myosin light polypeptide 6,MYL6,1.0493666666666668
3092,Myosin light polypeptide 6,MYL6,0.8680433333333334
3093,"Actin, cytoplasmic 1;Actin, cytoplasmic 1, N-terminally processed",ACTB,0.9833166666666666
3094,Ras-related C3 botulinum toxin substrate 3,RAC3,1.1359
3095,Eukaryotic initiation factor 4A-I,EIF4A1,0.8958733333333334
3096,40S ribosomal protein S20,RPS20,0.9460333333333334
3097,Ribose-phosphate pyrophosphokinase 1,PRPS1,1.0372933333333334
3098,Protein S100-A10,S100A10,0.6520966666666667
3099,Cell division control protein 42 homolog,CDC42,1.0942666666666667
3100,Destrin,DSTN,0.96087
3101,Glia maturation factor beta,GMFB,1.0657333333333332
3102,Ras-related protein Rab-8A,RAB8A,0.9850266666666666
3103,Signal peptidase complex subunit 3,SPCS3,0.97075
3104,Signal recognition particle 54 kDa protein,SRP54,1.1246666666666667
3105,Ras-related protein Rab-4B,RAB4B,1.1816333333333333
3106,Ras-related protein Rab-2A,RAB2A,1.2285666666666666
3107,Ras-related protein Rab-5B,RAB5B,1.2722666666666667
3108,Cyclin-dependent kinases regulatory subunit;Cyclin-dependent kinases regulatory subunit 1,CKS1B,1.0815
3109,Ras-related protein Rab-10,RAB10,1.0426666666666666
3110,Ubiquitin-conjugating enzyme E2 D3;Ubiquitin-conjugating enzyme E2 D2,UBE2D3;UBE2D2,1.0012699999999999
3111,NEDD8-conjugating enzyme Ubc12,UBE2M,0.94629
3112,Ubiquitin-conjugating enzyme E2 K,UBE2K,0.95918
3113,Ubiquitin-conjugating enzyme E2 N;Putative ubiquitin-conjugating enzyme E2 N-like,UBE2N;UBE2NL,0.9597366666666667
3114,Ras-related protein Rab-14,RAB14,1.1064333333333334
3115,Actin-related protein 3,ACTR3,1.0069666666666666
3116,Actin-related protein 2,ACTR2,1.0579333333333334
3117,Alpha-centractin,ACTR1A,1.0858333333333332
3118,COP9 signalosome complex subunit 2,COPS2,1.0198066666666668
3120,ATP-binding cassette sub-family E member 1,ABCE1,0.9595033333333334
3121,Ras-related protein Rap-1b;Ras-related protein Rap-1b-like protein,RAP1B,1.0129166666666667
3122,Ras-related protein Rap-2b,RAP2B,0.9743666666666667
3123,40S ribosomal protein S3a,RPS3A,0.87737
3124,60S ribosomal protein L26,RPL26,0.8543333333333333
3125,Proteasome activator complex subunit 3,PSME3,0.90605
3126,60S ribosomal protein L15;Ribosomal protein L15,RPL15,0.8775266666666667
3127,Protein mago nashi homolog,MAGOH;MAGOHB,0.9658333333333333
3128,60S ribosomal protein L27,RPL27,0.8382366666666666
3129,Pterin-4-alpha-carbinolamine dehydratase,PCBD1,1.2463
3130,60S ribosomal protein L37a,RPL37A,0.83142
3131,Transforming protein RhoA,RHOA,1.1787333333333334
3132,Rho-related GTP-binding protein RhoE,RND3;ARHE,1.3084333333333333
3133,N-alpha-acetyltransferase 20,NAA20,0.9667766666666666
3135,"10 kDa heat shock protein, mitochondrial",HSPE1,1.0271
3136,Prefoldin subunit 3,VBP1,1.0164333333333333
3137,Syntaxin-binding protein 1,STXBP1,1.1517333333333333
